## [BeGaze]
## Converted from:	D:\Recorded Data\Experiment Data\Yin_2012_04_15_Pasta_autoWB.etg.data\Yin_2012_04_15_004-b74233b7-5336-48f6-95bb-450da8b37725\Yin_2012_04_15_004-1-recording.idf
## Date:	01.01.2001 00:04:55
## Version:	BeGaze 3.3.56
## IDF Version:	10
## Sample Rate:	30
## Separator Type:	Trial
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	20076
## Reversed:	none
## [Run]
## Subject:	Yin_2012_04_15_004
## Description:	Run1
## [Calibration]
## Calibration Type:	n.a.
## Calibration Area:	1280	960
## [Geometry]
## Stimulus Dimension [mm]:	1280	960
## Head Distance [mm]:	1450
## [Hardware Setup]
## System ID:	
## Operating System :	
## IView X Version:	
## [Filter Settings]
## Heuristics:	False
## Heuristics Stage:	0
## Bilateral:	False
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT, FRAMECOUNTER
##
Time	Type	Trial	B POR X [px]	B POR Y [px]	Frame	Aux1	B Event Info
246596444	SMP	1	318.94	640.22	00:00:03:06		Saccade
246641058	SMP	1	295.23	659.80	00:00:03:06		Saccade
246660576	SMP	1	295.34	656.85	00:00:03:08		Blink
246695114	SMP	1	296.72	657.38	00:00:03:09		Blink
246737554	SMP	1	296.72	657.37	00:00:03:09		Blink
246768638	SMP	1	217.06	713.43	00:00:03:10		Fixation
246801279	SMP	1	226.93	707.82	00:00:03:11		Fixation
246836916	SMP	1	231.42	707.85	00:00:03:12		Fixation
246861835	SMP	1	245.97	705.74	00:00:03:12		Fixation
246898290	SMP	1	237.67	715.99	00:00:03:12		Fixation
246934081	SMP	1	248.09	708.53	00:00:03:12		Fixation
246963098	SMP	1	259.80	711.35	00:00:03:14		Fixation
246993690	SMP	1	271.85	705.17	00:00:03:15		Fixation
247027197	SMP	1	279.04	711.55	00:00:03:15		Blink
247059317	SMP	1	259.85	682.26	00:00:03:16		Blink
247093475	SMP	1	294.51	708.48	00:00:03:17		Blink
247125209	SMP	1	324.00	705.34	00:00:03:18		Blink
247162720	SMP	1	346.46	703.48	00:00:03:19		Fixation
247193652	SMP	1	359.15	703.72	00:00:03:20		Fixation
247226774	SMP	1	370.03	702.97	00:00:03:21		Fixation
247261053	SMP	1	376.65	706.53	00:00:03:21		Saccade
247294103	SMP	1	391.45	702.61	00:00:03:22		Saccade
247326727	SMP	1	399.23	700.21	00:00:03:23		Fixation
247362675	SMP	1	401.57	718.36	00:00:03:23		Fixation
247393347	SMP	1	405.89	718.56	00:00:04:01		Fixation
247426197	SMP	1	415.69	711.55	00:00:04:01		Fixation
247471735	SMP	1	421.04	710.96	00:00:04:02		Saccade
247501499	SMP	1	433.44	708.64	00:00:04:02		Saccade
247538097	SMP	1	433.42	708.63	00:00:04:03		Blink
247569745	SMP	1	433.42	708.63	00:00:04:03		Blink
247592594	SMP	1	440.02	852.39	00:00:04:05		Blink
247626445	SMP	1	478.57	709.88	00:00:04:06		Blink
247666098	SMP	1	481.72	657.82	00:00:04:07		Fixation
247695486	SMP	1	485.64	652.84	00:00:04:08		Fixation
247725207	SMP	1	491.25	649.11	00:00:04:08		Fixation
247759460	SMP	1	495.31	645.11	00:00:04:09		Fixation
247794666	SMP	1	501.42	644.23	00:00:04:10		Fixation
247824953	SMP	1	508.37	660.65	00:00:04:11		Fixation
247857914	SMP	1	351.01	758.13	00:00:04:11		Blink
247890761	SMP	1	520.99	838.57	00:00:04:12		Blink
247927199	SMP	1	504.62	662.03	00:00:04:13		Blink
247959146	SMP	1	520.99	838.57	00:00:04:14		Blink
247991868	SMP	1	892.61	1846.94	00:00:04:15		Blink
248024337	SMP	1	547.06	581.93	00:00:04:15		Blink
248058058	SMP	1	552.82	587.52	00:00:04:16		Blink
248091164	SMP	1	558.77	588.80	00:00:04:17		Blink
248124965	SMP	1	561.40	593.14	00:00:04:18		Fixation
248156921	SMP	1	565.56	591.37	00:00:04:19		Fixation
248191493	SMP	1	564.19	597.86	00:00:04:19		Fixation
248225118	SMP	1	568.22	596.35	00:00:04:20		Fixation
248258563	SMP	1	570.38	597.15	00:00:04:21		Fixation
248291171	SMP	1	573.39	595.98	00:00:04:22		Fixation
248324228	SMP	1	574.96	593.54	00:00:04:23		Fixation
248357102	SMP	1	578.06	589.24	00:00:05:00		Fixation
248390032	SMP	1	579.41	589.94	00:00:05:00		Saccade
248423653	SMP	1	579.50	598.70	00:00:05:01		Saccade
248456902	SMP	1	577.83	597.66	00:00:05:02		Fixation
248490088	SMP	1	578.80	601.33	00:00:05:03		Fixation
248523640	SMP	1	576.76	603.17	00:00:05:03		Saccade
248557247	SMP	1	574.64	610.96	00:00:05:04		Saccade
248590234	SMP	1	571.93	603.77	00:00:05:05		Fixation
248623400	SMP	1	568.99	614.35	00:00:05:06		Fixation
248656585	SMP	1	565.76	602.19	00:00:05:06		Saccade
248689308	SMP	1	587.46	605.28	00:00:05:07		Saccade
248723631	SMP	1	584.01	609.74	00:00:05:08		Saccade
248757563	SMP	1	582.81	601.41	00:00:05:09		Fixation
248790649	SMP	1	580.49	603.22	00:00:05:10		Fixation
248822343	SMP	1	577.68	605.56	00:00:05:11		Fixation
248855872	SMP	1	576.88	605.37	00:00:05:11		Fixation
248890036	SMP	1	575.65	606.89	00:00:05:12		Fixation
248922498	SMP	1	575.49	607.25	00:00:05:13		Fixation
248956052	SMP	1	576.28	607.16	00:00:05:14		Fixation
248989335	SMP	1	581.43	608.74	00:00:05:15		Fixation
249022873	SMP	1	581.67	609.53	00:00:05:15		Fixation
249055877	SMP	1	582.10	610.83	00:00:05:16		Fixation
249088844	SMP	1	580.23	610.65	00:00:05:17		Fixation
249123429	SMP	1	580.50	611.08	00:00:05:18		Fixation
249155639	SMP	1	580.84	610.65	00:00:05:19		Fixation
249189329	SMP	1	579.99	622.07	00:00:05:20		Saccade
249222797	SMP	1	576.93	610.81	00:00:05:20		Saccade
249255878	SMP	1	571.81	609.58	00:00:05:21		Fixation
249289805	SMP	1	569.48	609.17	00:00:05:22		Fixation
249322214	SMP	1	567.64	609.54	00:00:05:23		Fixation
249356197	SMP	1	565.38	610.39	00:00:05:23		Fixation
249389604	SMP	1	564.06	609.64	00:00:06:00		Fixation
249422170	SMP	1	561.42	608.85	00:00:06:01		Fixation
249454801	SMP	1	560.86	606.79	00:00:06:02		Saccade
249494368	SMP	1	532.04	619.65	00:00:06:03		Saccade
249521727	SMP	1	531.82	615.63	00:00:06:03		Saccade
249554783	SMP	1	530.08	611.01	00:00:06:04		Fixation
249587627	SMP	1	527.76	613.87	00:00:06:05		Fixation
249622565	SMP	1	527.02	612.85	00:00:06:06		Fixation
249655314	SMP	1	525.72	612.23	00:00:06:07		Fixation
249688715	SMP	1	524.78	612.15	00:00:06:07		Fixation
249721454	SMP	1	524.76	605.55	00:00:06:08		Saccade
249755966	SMP	1	510.40	607.82	00:00:06:09		Saccade
249787600	SMP	1	509.04	609.70	00:00:06:10		Fixation
249821843	SMP	1	508.54	608.58	00:00:06:11		Fixation
249854581	SMP	1	507.70	609.34	00:00:06:11		Fixation
249888207	SMP	1	507.11	608.06	00:00:06:12		Fixation
249920581	SMP	1	505.57	605.36	00:00:06:13		Fixation
249954170	SMP	1	504.29	605.62	00:00:06:14		Fixation
249987240	SMP	1	503.42	606.36	00:00:06:14		Fixation
250020662	SMP	1	502.52	617.61	00:00:06:15		Fixation
250054238	SMP	1	504.23	616.91	00:00:06:16		Fixation
250088292	SMP	1	501.84	604.56	00:00:06:17		Fixation
250120639	SMP	1	503.42	604.40	00:00:06:18		Fixation
250153853	SMP	1	504.57	604.87	00:00:06:19		Fixation
250187403	SMP	1	505.24	605.01	00:00:06:19		Fixation
250221197	SMP	1	506.82	617.60	00:00:06:20		Fixation
250254255	SMP	1	506.59	603.62	00:00:06:21		Fixation
250287744	SMP	1	506.48	604.60	00:00:06:22		Fixation
250320893	SMP	1	505.38	614.14	00:00:06:23		Fixation
250353714	SMP	1	511.40	619.88	00:00:06:23		Fixation
250387162	SMP	1	512.01	617.46	00:00:06:23		Fixation
250419875	SMP	1	506.73	613.87	00:00:07:00		Fixation
250453725	SMP	1	503.56	614.33	00:00:07:02		Fixation
250487251	SMP	1	498.93	616.00	00:00:07:02		Saccade
250520012	SMP	1	497.53	626.49	00:00:07:03		Saccade
250554038	SMP	1	495.69	629.40	00:00:07:04		Fixation
250587548	SMP	1	496.57	632.18	00:00:07:05		Fixation
250619244	SMP	1	495.67	631.35	00:00:07:06		Fixation
250654842	SMP	1	499.37	633.22	00:00:07:07		Saccade
250686559	SMP	1	519.15	629.20	00:00:07:07		Saccade
250722195	SMP	1	521.95	628.37	00:00:07:08		Saccade
250752664	SMP	1	520.58	627.00	00:00:07:09		Saccade
250787761	SMP	1	518.93	614.86	00:00:07:10		Saccade
250819331	SMP	1	517.18	615.28	00:00:07:10		Fixation
250852327	SMP	1	517.02	615.52	00:00:07:11		Fixation
250886252	SMP	1	514.70	615.41	00:00:07:12		Fixation
250919516	SMP	1	512.83	617.38	00:00:07:13		Fixation
250952434	SMP	1	511.56	617.86	00:00:07:14		Fixation
250986673	SMP	1	509.86	621.05	00:00:07:15		Fixation
251020794	SMP	1	508.10	622.40	00:00:07:15		Fixation
251053550	SMP	1	506.06	623.06	00:00:07:16		Fixation
251086185	SMP	1	517.89	622.85	00:00:07:17		Saccade
251118772	SMP	1	517.69	636.97	00:00:07:18		Saccade
251153837	SMP	1	515.33	639.16	00:00:07:18		Fixation
251186390	SMP	1	511.71	641.33	00:00:07:19		Fixation
251219414	SMP	1	506.38	644.13	00:00:07:19		Fixation
251251273	SMP	1	501.35	646.80	00:00:07:20		Saccade
251285307	SMP	1	494.57	638.53	00:00:07:22		Saccade
251319235	SMP	1	487.82	640.70	00:00:07:22		Fixation
251351935	SMP	1	481.72	637.24	00:00:07:23		Fixation
251384894	SMP	1	480.59	631.73	00:00:08:00		Fixation
251418535	SMP	1	479.30	630.62	00:00:08:01		Saccade
251451747	SMP	1	470.80	623.88	00:00:08:02		Saccade
251485368	SMP	1	470.15	624.26	00:00:08:03		Blink
251519311	SMP	1	470.36	623.96	00:00:08:03		Blink
251552649	SMP	1	-265.83	1242.11	00:00:08:04		Blink
251586850	SMP	1	799.62	674.17	00:00:08:05		Blink
251618956	SMP	1	881.25	595.49	00:00:08:06		Blink
251651745	SMP	1	868.28	536.63	00:00:08:06		Blink
251685152	SMP	1	845.16	527.47	00:00:08:07		Saccade
251717653	SMP	1	810.82	496.24	00:00:08:08		Saccade
251751901	SMP	1	783.08	498.22	00:00:08:09		Saccade
251786201	SMP	1	886.08	523.16	00:00:08:10		Saccade
251817635	SMP	1	873.93	497.53	00:00:08:11		Fixation
251852366	SMP	1	837.05	488.51	00:00:08:11		Fixation
251885351	SMP	1	813.63	460.14	00:00:08:12		Fixation
251917329	SMP	1	788.53	446.05	00:00:08:13		Fixation
251950434	SMP	1	766.80	448.88	00:00:08:14		Saccade
251985590	SMP	1	745.39	419.15	00:00:08:15		Saccade
252018409	SMP	1	728.50	406.24	00:00:08:15		Saccade
252051268	SMP	1	715.32	401.81	00:00:08:15		Fixation
252083218	SMP	1	709.04	391.19	00:00:08:16		Fixation
252118317	SMP	1	701.79	389.94	00:00:08:18		Fixation
252150886	SMP	1	695.42	386.79	00:00:08:18		Fixation
252184513	SMP	1	694.40	378.61	00:00:08:19		Fixation
252217156	SMP	1	695.08	372.07	00:00:08:20		Fixation
252250517	SMP	1	699.15	362.82	00:00:08:21		Saccade
252284454	SMP	1	748.17	405.48	00:00:08:22		Saccade
252316879	SMP	1	759.77	406.69	00:00:08:22		Fixation
252350438	SMP	1	763.02	399.75	00:00:08:23		Fixation
252383029	SMP	1	757.70	393.91	00:00:09:00		Fixation
252417726	SMP	1	752.54	387.73	00:00:09:01		Fixation
252449684	SMP	1	748.39	382.23	00:00:09:02		Fixation
252484287	SMP	1	743.84	376.43	00:00:09:03		Fixation
252516828	SMP	1	738.00	372.91	00:00:09:03		Fixation
252549902	SMP	1	730.78	373.01	00:00:09:04		Fixation
252583726	SMP	1	724.20	370.76	00:00:09:05		Fixation
252616676	SMP	1	713.65	372.50	00:00:09:06		Saccade
252649513	SMP	1	746.69	422.08	00:00:09:06		Saccade
252682915	SMP	1	739.84	416.25	00:00:09:07		Saccade
252717166	SMP	1	729.02	422.82	00:00:09:08		Fixation
252749484	SMP	1	724.94	419.28	00:00:09:09		Fixation
252783092	SMP	1	722.68	418.59	00:00:09:10		Fixation
252816744	SMP	1	719.34	415.31	00:00:09:10		Fixation
252849648	SMP	1	720.00	410.31	00:00:09:11		Fixation
252882933	SMP	1	719.39	411.01	00:00:09:11		Saccade
252915352	SMP	1	733.39	440.97	00:00:09:13		Saccade
252949604	SMP	1	732.17	441.54	00:00:09:14		Fixation
252982783	SMP	1	730.80	441.52	00:00:09:14		Fixation
253016290	SMP	1	732.40	442.52	00:00:09:15		Fixation
253049103	SMP	1	728.96	448.24	00:00:09:16		Fixation
253082578	SMP	1	725.15	535.13	00:00:09:17		Blink
253117006	SMP	1	701.18	581.84	00:00:09:18		Blink
253150509	SMP	1	705.47	484.42	00:00:09:18		Blink
253183935	SMP	1	698.93	440.24	00:00:09:19		Blink
253215014	SMP	1	721.05	431.51	00:00:09:20		Fixation
253249428	SMP	1	724.76	439.50	00:00:09:21		Fixation
253281544	SMP	1	726.35	436.08	00:00:09:22		Saccade
253315929	SMP	1	731.06	423.52	00:00:09:22		Saccade
253349347	SMP	1	731.81	434.55	00:00:09:23		Saccade
253381742	SMP	1	741.10	436.05	00:00:10:00		Fixation
253415003	SMP	1	744.42	436.06	00:00:10:01		Fixation
253448260	SMP	1	745.82	437.99	00:00:10:02		Fixation
253480853	SMP	1	746.01	437.61	00:00:10:02		Fixation
253514689	SMP	1	748.23	429.03	00:00:10:03		Saccade
253547924	SMP	1	747.09	448.82	00:00:10:04		Saccade
253581765	SMP	1	747.46	449.20	00:00:10:05		Fixation
253614381	SMP	1	744.76	449.38	00:00:10:05		Fixation
253648624	SMP	1	741.87	443.74	00:00:10:06		Fixation
253682109	SMP	1	741.93	450.32	00:00:10:07		Fixation
253714072	SMP	1	742.68	450.41	00:00:10:07		Fixation
253747548	SMP	1	741.24	453.27	00:00:10:08		Fixation
253781163	SMP	1	741.33	465.05	00:00:10:09		Fixation
253814223	SMP	1	745.51	469.06	00:00:10:10		Fixation
253847344	SMP	1	744.53	447.03	00:00:10:11		Fixation
253881631	SMP	1	744.06	465.42	00:00:10:12		Fixation
253913378	SMP	1	743.68	466.60	00:00:10:13		Fixation
253947500	SMP	1	742.34	449.98	00:00:10:13		Fixation
253981212	SMP	1	743.85	463.71	00:00:10:14		Fixation
254014804	SMP	1	736.82	469.65	00:00:10:15		Fixation
254047454	SMP	1	731.62	470.51	00:00:10:16		Saccade
254080274	SMP	1	652.48	446.92	00:00:10:17		Saccade
254114763	SMP	1	647.60	441.42	00:00:10:18		Fixation
254146806	SMP	1	647.01	440.41	00:00:10:18		Fixation
254180522	SMP	1	646.92	437.61	00:00:10:19		Fixation
254213859	SMP	1	645.40	437.96	00:00:10:20		Fixation
254247602	SMP	1	646.25	437.91	00:00:10:21		Fixation
254281314	SMP	1	645.69	436.12	00:00:10:22		Fixation
254312630	SMP	1	647.28	433.00	00:00:10:22		Fixation
254346988	SMP	1	645.72	433.56	00:00:10:23		Fixation
254380174	SMP	1	644.52	429.40	00:00:11:00		Fixation
254413069	SMP	1	646.26	426.65	00:00:11:01		Fixation
254446356	SMP	1	645.82	425.68	00:00:11:01		Fixation
254479290	SMP	1	645.50	424.41	00:00:11:02		Fixation
254513941	SMP	1	647.82	423.70	00:00:11:03		Fixation
254545840	SMP	1	647.73	420.69	00:00:11:03		Fixation
254578732	SMP	1	649.36	445.24	00:00:11:04		Saccade
254613302	SMP	1	651.89	483.14	00:00:11:05		Saccade
254647052	SMP	1	652.83	484.67	00:00:11:06		Blink
254679949	SMP	1	652.68	485.02	00:00:11:07		Blink
254714351	SMP	1	634.91	532.63	00:00:11:08		Blink
254746409	SMP	1	734.96	541.75	00:00:11:09		Blink
254780794	SMP	1	737.78	472.98	00:00:11:09		Blink
254812652	SMP	1	752.21	448.26	00:00:11:10		Fixation
254845653	SMP	1	752.67	451.82	00:00:11:11		Fixation
254878748	SMP	1	753.83	451.40	00:00:11:12		Fixation
254912534	SMP	1	754.65	459.89	00:00:11:13		Fixation
254946850	SMP	1	758.03	459.41	00:00:11:14		Fixation
254979505	SMP	1	761.11	461.16	00:00:11:14		Saccade
255011764	SMP	1	742.14	456.04	00:00:11:15		Saccade
255045115	SMP	1	744.60	473.56	00:00:11:16		Fixation
255078616	SMP	1	746.05	469.83	00:00:11:17		Fixation
255112747	SMP	1	747.78	469.19	00:00:11:18		Fixation
255144538	SMP	1	747.75	458.29	00:00:11:18		Fixation
255179979	SMP	1	746.89	459.20	00:00:11:19		Fixation
255212179	SMP	1	744.29	468.99	00:00:11:20		Saccade
255244911	SMP	1	742.95	457.43	00:00:11:21		Saccade
255278182	SMP	1	742.67	452.75	00:00:11:21		Fixation
255311765	SMP	1	745.15	450.09	00:00:11:22		Fixation
255346317	SMP	1	744.76	449.00	00:00:11:23		Fixation
255378368	SMP	1	745.70	446.59	00:00:11:23		Fixation
255411202	SMP	1	746.29	443.94	00:00:12:00		Saccade
255445067	SMP	1	579.08	359.45	00:00:12:01		Saccade
255477782	SMP	1	524.69	330.95	00:00:12:02		Saccade
255511809	SMP	1	517.59	320.70	00:00:12:03		Fixation
255545744	SMP	1	525.11	318.36	00:00:12:04		Fixation
255577863	SMP	1	524.73	312.85	00:00:12:05		Fixation
255611529	SMP	1	522.54	311.10	00:00:12:05		Fixation
255644640	SMP	1	520.98	308.98	00:00:12:06		Fixation
255677121	SMP	1	518.21	306.19	00:00:12:07		Fixation
255710981	SMP	1	515.71	303.92	00:00:12:08		Fixation
255744392	SMP	1	513.85	300.61	00:00:12:09		Fixation
255778157	SMP	1	511.36	294.72	00:00:12:09		Fixation
255812101	SMP	1	506.84	290.40	00:00:12:10		Fixation
255844594	SMP	1	503.23	284.76	00:00:12:11		Fixation
255877295	SMP	1	499.81	281.86	00:00:12:12		Fixation
255912217	SMP	1	496.06	275.87	00:00:12:13		Fixation
255944629	SMP	1	493.20	272.32	00:00:12:13		Fixation
255976963	SMP	1	492.27	269.10	00:00:12:14		Saccade
256010602	SMP	1	486.19	259.69	00:00:12:15		Saccade
256045663	SMP	1	486.43	262.12	00:00:12:16		Saccade
256077057	SMP	1	509.70	269.65	00:00:12:16		Saccade
256109616	SMP	1	577.51	294.52	00:00:12:17		Saccade
256143859	SMP	1	575.10	287.06	00:00:12:18		Fixation
256176541	SMP	1	573.68	284.94	00:00:12:19		Fixation
256210002	SMP	1	573.94	287.52	00:00:12:19		Fixation
256242747	SMP	1	567.92	278.14	00:00:12:20		Saccade
256276730	SMP	1	573.15	291.06	00:00:12:21		Saccade
256309708	SMP	1	573.14	294.07	00:00:12:22		Fixation
256343076	SMP	1	570.50	291.84	00:00:12:23		Fixation
256376672	SMP	1	564.52	291.64	00:00:13:00		Fixation
256409178	SMP	1	557.46	289.81	00:00:13:01		Fixation
256443066	SMP	1	554.01	290.12	00:00:13:01		Saccade
256476418	SMP	1	540.79	291.07	00:00:13:02		Saccade
256508740	SMP	1	548.38	300.58	00:00:13:03		Saccade
256542920	SMP	1	541.43	343.77	00:00:13:04		Blink
256577625	SMP	1	536.55	389.28	00:00:13:04		Blink
256608839	SMP	1	534.52	392.36	00:00:13:05		Blink
256643264	SMP	1	560.37	331.45	00:00:13:06		Blink
256677461	SMP	1	647.72	294.45	00:00:13:07		Blink
256710264	SMP	1	646.27	310.07	00:00:13:08		Fixation
256742946	SMP	1	641.55	315.22	00:00:13:08		Fixation
256776401	SMP	1	633.65	317.60	00:00:13:09		Fixation
256808643	SMP	1	631.95	316.90	00:00:13:10		Fixation
256841957	SMP	1	631.14	314.47	00:00:13:11		Fixation
256875652	SMP	1	631.59	313.72	00:00:13:12		Fixation
256908195	SMP	1	629.77	312.18	00:00:13:12		Fixation
256942100	SMP	1	631.52	311.38	00:00:13:13		Fixation
256974822	SMP	1	631.48	310.48	00:00:13:15		Saccade
257008053	SMP	1	615.28	363.23	00:00:13:15		Saccade
257041381	SMP	1	614.54	368.10	00:00:13:15		Fixation
257074339	SMP	1	616.14	364.37	00:00:13:16		Fixation
257108861	SMP	1	615.12	370.78	00:00:13:17		Fixation
257143301	SMP	1	615.72	372.39	00:00:13:18		Fixation
257176614	SMP	1	615.94	374.82	00:00:13:19		Fixation
257209670	SMP	1	620.81	374.23	00:00:13:20		Fixation
257240854	SMP	1	615.71	374.64	00:00:13:20		Saccade
257275782	SMP	1	618.50	362.77	00:00:13:21		Saccade
257310083	SMP	1	620.61	362.45	00:00:13:22		Saccade
257375289	SMP	1	694.75	396.18	00:00:14:00		Saccade
257407363	SMP	1	700.66	392.86	00:00:14:00		Fixation
